Date,AC.TO
2010-03-30,2.2200000286102295
2010-03-31,2.2200000286102295
2010-04-01,2.450000047683716
2010-04-05,2.5199999809265137
2010-04-06,2.549999952316284
2010-04-07,2.5299999713897705
2010-04-08,2.4200000762939453
2010-04-09,2.450000047683716
2010-04-12,2.4800000190734863
2010-04-13,2.440000057220459
2010-04-14,2.390000104904175
2010-04-15,2.380000114440918
2010-04-16,2.5
2010-04-19,2.5
2010-04-20,2.5
2010-04-21,2.4000000953674316
2010-04-22,2.440000057220459
2010-04-23,2.5
2010-04-26,2.440000057220459
2010-04-27,2.440000057220459
2010-04-28,2.3499999046325684
2010-04-29,2.25
2010-04-30,2.2300000190734863
2010-05-03,2.25
2010-05-04,2.1700000762939453
2010-05-05,2.200000047683716
2010-05-06,2.0399999618530273
2010-05-07,1.9500000476837158
2010-05-10,2.1600000858306885
2010-05-11,2.140000104904175
2010-05-12,2.140000104904175
2010-05-13,2.1600000858306885
2010-05-14,2.0899999141693115
2010-05-17,1.9800000190734863
2010-05-18,1.9199999570846558
2010-05-19,1.7200000286102295
2010-05-20,1.559999942779541
2010-05-21,1.7000000476837158
2010-05-25,1.75
2010-05-26,1.8799999952316284
2010-05-27,1.850000023841858
2010-05-28,1.7699999809265137
2010-05-31,1.8200000524520874
2010-06-01,1.7899999618530273
2010-06-02,1.809999942779541
2010-06-03,1.809999942779541
2010-06-04,1.7599999904632568
2010-06-07,1.75
2010-06-08,1.7300000190734863
2010-06-09,1.8300000429153442
2010-06-10,1.8799999952316284
2010-06-11,1.8799999952316284
2010-06-14,1.9299999475479126
2010-06-15,1.9500000476837158
2010-06-16,1.909999966621399
2010-06-17,1.909999966621399
2010-06-18,1.9199999570846558
2010-06-21,1.8300000429153442
2010-06-22,1.7899999618530273
2010-06-23,1.75
2010-06-24,1.7599999904632568
2010-06-25,1.7699999809265137
2010-06-28,1.7599999904632568
2010-06-29,1.649999976158142
2010-06-30,1.690000057220459
2010-07-02,1.6399999856948853
2010-07-05,1.600000023841858
2010-07-06,1.659999966621399
2010-07-07,1.8899999856948853
2010-07-08,1.850000023841858
2010-07-09,1.850000023841858
2010-07-12,1.899999976158142
2010-07-13,1.9299999475479126
2010-07-15,1.899999976158142
2010-07-19,1.909999966621399
2010-07-20,2.1500000953674316
2010-07-21,2.319999933242798
2010-07-22,2.4100000858306885
2010-07-23,2.450000047683716
2010-07-26,2.450000047683716
2010-07-27,2.3399999141693115
2010-07-28,2.3399999141693115
2010-07-29,2.309999942779541
2010-07-30,2.190000057220459
2010-08-03,2.2100000381469727
2010-08-04,2.299999952316284
2010-08-05,2.200000047683716
2010-08-06,2.240000009536743
2010-08-09,2.319999933242798
2010-08-10,2.25
2010-08-11,2.200000047683716
2010-08-12,2.2100000381469727
2010-08-13,2.200000047683716
2010-08-16,2.2100000381469727
2010-08-17,2.259999990463257
2010-08-18,2.25
2010-08-19,2.2300000190734863
2010-08-20,2.200000047683716
2010-08-23,2.190000057220459
2010-08-24,2.1700000762939453
2010-08-25,2.1700000762939453
2010-08-26,2.240000009536743
2010-08-27,2.2799999713897705
2010-08-30,2.309999942779541
2010-08-31,2.259999990463257
2010-09-01,2.2899999618530273
2010-09-02,2.309999942779541
2010-09-03,2.319999933242798
2010-09-07,2.369999885559082
2010-09-08,2.4200000762939453
2010-09-09,2.5
2010-09-10,2.4700000286102295
2010-09-13,2.509999990463257
2010-09-14,2.5
2010-09-15,2.5
2010-09-16,2.509999990463257
2010-09-17,2.569999933242798
2010-09-20,2.7300000190734863
2010-09-21,2.75
2010-09-22,2.8399999141693115
2010-09-23,2.809999942779541
2010-09-24,2.8499999046325684
2010-09-27,2.930000066757202
2010-09-28,2.9100000858306885
2010-09-29,2.940000057220459
2010-09-30,2.880000114440918
2010-10-01,2.8499999046325684
2010-10-04,2.799999952316284
2010-10-05,2.869999885559082
2010-10-06,3.109999895095825
2010-10-07,3.0799999237060547
2010-10-08,3.190000057220459
2010-10-12,3.3299999237060547
2010-10-13,3.4200000762939453
2010-10-14,3.3299999237060547
2010-10-15,3.3399999141693115
2010-10-18,3.4200000762939453
2010-10-19,3.390000104904175
2010-10-20,3.450000047683716
2010-10-21,3.6700000762939453
2010-10-22,3.7699999809265137
2010-10-25,3.7200000286102295
2010-10-26,3.7100000381469727
2010-10-27,3.6700000762939453
2010-10-28,3.7100000381469727
2010-10-29,3.7699999809265137
2010-11-01,3.7799999713897705
2010-11-02,3.799999952316284
2010-11-03,3.8399999141693115
2010-11-04,3.880000114440918
2010-11-05,3.7899999618530273
2010-11-08,3.6700000762939453
2010-11-09,3.430000066757202
2010-11-10,3.559999942779541
2010-11-11,3.440000057220459
2010-11-12,3.390000104904175
2010-11-15,3.5
2010-11-16,3.369999885559082
2010-11-17,3.4000000953674316
2010-11-18,3.5299999713897705
2010-11-19,3.6500000953674316
2010-11-22,3.6500000953674316
2010-11-23,3.6700000762939453
2010-11-24,3.6700000762939453
2010-11-25,3.7100000381469727
2010-11-26,3.7200000286102295
2010-11-29,3.740000009536743
2010-11-30,3.740000009536743
2010-12-01,3.7699999809265137
2010-12-02,3.8299999237060547
2010-12-03,3.799999952316284
2010-12-06,3.869999885559082
2010-12-07,3.859999895095825
2010-12-08,3.8299999237060547
2010-12-09,3.819999933242798
2010-12-10,3.819999933242798
2010-12-13,3.759999990463257
2010-12-14,3.690000057220459
2010-12-15,3.6700000762939453
2010-12-16,3.700000047683716
2010-12-17,3.509999990463257
2010-12-20,3.509999990463257
2010-12-21,3.609999895095825
2010-12-22,3.630000114440918
