ISIN,price,coupon,issue date,maturity date
CA135087F825,95.56,1.000%,8/3/2016,6/1/2027
CA135087K528,99.74,1.250%,10/11/2019,3/1/2025
CA135087K940,98.37,0.500%,4/3/2020,9/1/2025
CA135087R978,101.46,4.000%,5/6/2024,8/3/2026
CA135087Q806,101.10,4.500%,8/4/2023,11/1/2025
CA135087VH40,102.25,9.000%,8/2/1994,6/1/2025
CA135087S398,99.73,3.250%,8/2/2024,11/1/2026
CA135087L930,96.86,1.000%,4/16/2021,9/1/2026
CA135087P816,99.92,3.000%,1/20/2023,4/1/2026
CA135087Q640,100.19,3.500%,5/12/2023,8/1/2025
CA135087N837,99.27,2.750%,5/13/2022,9/1/2027
CA135087P659,100.00,3.750%,11/2/2022,2/1/2025
CA135087D507,99.64,2.250%,6/30/2014,6/1/2025
CA135087L518,96.90,0.250%,10/9/2020,3/1/2026
CA135087Q319,100.17,3.750%,2/10/2023,5/1/2025
CA135087R226,101.46,4.500%,11/1/2023,2/1/2026
CA135087S547,99.96,3.000%,11/1/2024,2/1/2027
CA135087E679,97.99,1.500%,7/21/2015,6/1/2026
CA135087R556,101.22,4.000%,2/12/2024,5/1/2026
CA135087M847,96.39,1.250%,10/15/2021,3/1/2027
CA135087R556,101.22,4.000%,2/12/2024,5/1/2026
CA135087M847,96.39,1.250%,10/15/2021,3/1/2027
CA135087P246,99.91,3.000%,7/25/2022,10/1/2025
CA135087P733,100.72,3.245%,12/2/2022,8/24/2027
CA135087J397,96.97,2.250%,7/27/2018,6/1/2029
CA135087S216,98.65,3.250%,7/12/2024,12/1/2034
CA135087N266,89.26,1.500%,10/25/2021,12/1/2031
CA135087R895,101.59,3.500%,4/8/2024,9/1/2029
CA135087N670,96.25,2.250%,3/29/2022,12/1/2029
CA135087R481,96.78,3.000%,12/27/2023,6/1/2034
CA135087H235,96.71,2.000%,8/1/2017,6/1/2028
CA135087WL43,110.95,5.750%,2/2/1998,6/1/2029
CA135087L443,85.76,0.500%,10/5/2020,12/1/2030
CA135087Q491,100.79,3.250%,4/21/2023,9/1/2028
CA135087Q988,103.53,4.000%,10/13/2023,3/1/2029
CA135087S471,97.96,2.750%,10/3/2024,3/1/2030
CA135087N597,91.59,2.000%,3/16/2022,6/1/2032
CA135087Q723,99.04,3.250%,6/26/2023,12/1/2033
CA135087R713,100.86,3.500%,3/1/2024,3/1/2034
CA135087P576,101.52,3.500%,10/21/2022,3/1/2028
CA135087XG49,117.27,5.750%,10/15/2001,6/1/2033
CA135087M276,90.14,1.500%,4/26/2021,6/1/2031
CA135087P329,94.38,2.500%,8/8/2022,12/1/2032
